student_id,attendance,previous_marks,study_hours,assignment_score,internal_marks,completed_assignments,class_participation,extracurricular_activity,final_marks,performance_category
STD1357,75.8,80.8,4.9,72.0,73.3,9,10,Yes,77.8,High
STD1358,72.4,56.8,3.1,56.7,70.7,4,7,Yes,57.7,Average
STD1359,80.0,88.9,2.5,86.7,72.6,7,6,No,81.6,High
STD1360,65.7,64.2,5.6,62.1,57.2,5,7,Yes,66.3,Average
STD1361,82.5,67.7,5.6,61.8,67.4,7,7,Yes,63.0,Average
STD1362,95.2,57.5,3.1,79.5,45.5,9,8,No,57.7,Average
STD1363,74.6,34.1,6.1,47.0,46.5,4,9,No,43.1,Low
STD1364,81.0,80.4,3.4,79.7,70.3,9,9,No,76.0,High
STD1365,84.6,78.3,5.0,69.2,75.7,8,9,No,67.7,Average
STD1366,71.0,64.1,6.0,64.8,71.2,8,6,Yes,66.4,Average
STD1367,78.8,68.9,4.4,69.3,62.0,7,8,Yes,69.8,Average
STD1368,76.2,75.2,5.3,55.5,66.6,3,7,No,63.9,Average
STD1369,77.2,46.1,3.6,69.1,46.9,6,9,No,55.5,Average
STD1370,66.3,60.6,4.1,68.6,53.2,6,6,Yes,56.0,Average
STD1371,76.3,79.1,4.1,68.9,71.1,7,6,No,71.9,Average
STD1372,82.2,50.4,3.2,49.5,41.1,5,8,No,47.9,Low
STD1373,94.1,72.1,4.2,75.6,64.7,9,8,No,69.5,Average
STD1374,88.0,49.0,1.7,59.2,40.5,7,10,No,53.8,Average
STD1375,100.0,74.5,3.6,78.7,71.0,8,9,Yes,76.8,High
STD1376,66.4,67.5,4.0,64.2,73.0,8,5,No,64.5,Average
STD1377,86.9,45.4,4.0,60.1,42.6,6,6,No,49.3,Low
STD1378,78.3,84.3,4.1,86.1,64.0,9,8,Yes,75.0,High
STD1379,100.0,57.7,4.4,71.0,58.8,8,9,No,65.4,Average
STD1380,65.9,56.7,5.4,48.7,57.0,5,6,Yes,51.4,Average
STD1381,65.5,70.8,6.1,74.5,72.2,10,9,Yes,70.6,Average
STD1382,68.5,84.1,3.3,84.7,70.3,7,8,Yes,76.4,High
STD1383,49.5,53.8,2.3,74.1,52.1,7,5,Yes,50.5,Average
STD1384,69.4,68.9,2.6,55.9,60.1,5,8,Yes,66.6,Average
STD1385,66.5,74.0,3.6,68.1,71.6,7,8,No,72.0,Average
STD1386,77.9,77.7,3.9,55.9,53.6,7,7,Yes,60.0,Average
STD1387,80.3,70.5,3.1,72.4,61.0,7,6,Yes,73.2,Average
STD1388,99.5,62.9,2.2,65.3,57.0,5,10,Yes,64.7,Average
STD1389,87.9,56.4,3.7,77.1,52.9,9,9,Yes,67.2,Average
STD1390,68.8,69.2,4.8,58.5,74.3,7,8,No,63.3,Average
STD1391,64.8,53.0,5.6,41.6,50.4,2,6,No,53.4,Average
STD1392,82.1,30.0,3.5,43.0,37.7,4,9,No,44.5,Low
STD1393,59.5,74.1,3.8,49.6,65.3,3,5,No,55.2,Average
STD1394,98.9,80.7,2.8,84.7,66.5,8,9,Yes,72.5,Average
STD1395,90.7,34.9,4.4,36.1,30.3,3,10,No,36.7,Low
STD1396,70.1,53.9,3.0,56.5,48.8,6,6,No,53.4,Average
STD1397,54.6,76.7,5.5,48.9,73.6,5,5,No,64.9,Average
STD1398,92.9,96.8,1.3,83.9,72.2,7,7,No,80.6,High
STD1399,74.6,68.3,3.9,77.8,59.9,9,9,No,65.8,Average
STD1400,91.5,57.8,5.0,67.1,66.0,5,10,No,59.9,Average
STD1401,56.1,65.4,4.8,52.2,58.8,6,6,Yes,56.4,Average
STD1402,68.5,87.2,9.3,73.9,83.8,7,8,No,83.4,High
STD1403,76.1,59.0,5.1,60.9,60.9,6,9,Yes,61.2,Average
STD1404,76.6,56.8,2.7,63.2,58.1,7,6,Yes,61.1,Average
STD1405,70.4,61.2,4.3,50.1,71.3,6,8,Yes,58.4,Average
STD1406,83.8,54.7,1.3,65.0,54.4,8,7,Yes,61.5,Average
STD1407,62.7,69.7,4.4,42.6,66.8,4,6,Yes,58.6,Average
STD1408,74.2,90.7,3.0,73.0,70.1,8,6,Yes,79.3,High
STD1409,77.5,72.5,6.1,64.9,63.8,6,8,No,69.9,Average
STD1410,82.4,64.5,3.5,70.3,61.1,7,8,No,61.9,Average
STD1411,84.9,63.9,4.3,66.1,62.1,7,9,No,63.9,Average
STD1412,61.9,46.1,3.4,39.2,38.5,4,2,Yes,42.4,Low
STD1413,56.8,80.4,7.6,59.7,75.4,4,6,No,61.6,Average
STD1414,92.0,66.9,3.9,71.0,65.5,7,9,No,64.1,Average
STD1415,80.2,65.5,7.8,64.9,72.6,7,10,Yes,72.5,Average
STD1416,66.6,99.0,6.0,75.8,88.0,7,6,No,81.5,High
STD1417,95.4,72.2,5.4,69.8,70.7,6,10,No,72.2,Average
STD1418,77.4,57.5,5.2,65.5,57.2,8,10,Yes,62.8,Average
STD1419,90.7,62.0,5.2,62.6,59.0,7,8,No,67.7,Average
STD1420,76.8,84.1,1.0,74.1,58.1,7,7,No,67.0,Average
STD1421,100.0,69.6,4.0,89.5,79.0,8,9,Yes,82.1,High
STD1422,97.9,47.9,6.0,50.1,54.5,4,10,Yes,52.3,Average
STD1423,72.9,80.9,4.4,58.0,67.3,7,7,Yes,52.9,Average
STD1424,88.1,58.6,2.0,69.8,48.4,7,7,Yes,62.5,Average
STD1425,84.1,94.2,4.4,77.3,96.8,7,10,Yes,80.0,High
STD1426,93.1,83.1,7.6,76.4,74.6,8,10,Yes,80.3,High
STD1427,63.9,61.7,6.7,53.0,61.1,4,9,Yes,60.0,Average
STD1428,84.6,85.9,4.4,76.0,77.2,9,9,No,83.5,High
STD1429,89.2,68.9,6.2,81.9,75.4,10,8,Yes,79.0,High
STD1430,54.0,79.9,3.8,72.1,75.4,7,6,Yes,71.1,Average
STD1431,61.2,74.8,1.4,71.7,72.0,7,7,Yes,71.2,Average
STD1432,50.5,56.2,2.8,41.4,52.2,2,4,No,48.0,Low
STD1433,72.6,59.0,7.3,51.1,56.9,4,10,Yes,59.1,Average
STD1434,85.0,82.4,4.0,54.8,66.3,4,9,Yes,74.2,Average
STD1435,94.8,63.3,4.1,62.3,61.7,6,10,Yes,62.4,Average
STD1436,76.9,62.3,4.0,70.0,73.1,7,7,No,66.9,Average
STD1437,96.4,54.6,7.9,67.9,57.5,5,9,No,57.9,Average
STD1438,58.7,73.9,7.4,62.5,80.5,6,7,Yes,72.0,Average
STD1439,54.7,96.9,8.5,75.4,91.0,8,9,Yes,84.6,High
STD1440,75.3,53.1,4.2,52.1,58.1,6,5,No,62.2,Average
STD1441,80.8,68.3,5.0,68.7,65.4,5,6,No,58.8,Average
STD1442,75.6,87.8,1.8,82.2,65.5,8,7,Yes,71.7,Average
STD1443,50.2,66.9,7.2,45.7,70.3,3,6,No,61.8,Average
STD1444,74.9,74.3,2.4,71.1,67.1,8,7,No,68.1,Average
STD1445,59.7,53.1,4.9,59.9,62.1,7,8,Yes,60.2,Average
STD1446,84.4,74.0,2.5,68.2,62.6,6,7,No,61.6,Average
STD1447,80.6,65.4,3.4,70.8,57.5,6,6,No,59.8,Average
STD1448,64.3,81.8,3.0,91.1,62.9,9,9,No,76.4,High
STD1449,69.6,84.6,3.4,72.2,75.9,5,6,Yes,72.7,Average
STD1450,62.8,99.0,3.5,82.0,82.9,9,5,Yes,82.4,High
STD1451,75.2,76.1,3.5,64.4,59.6,6,9,Yes,66.7,Average
STD1452,87.9,72.6,6.0,72.9,68.0,8,9,Yes,69.0,Average
STD1453,63.7,70.7,2.5,67.2,58.0,6,6,No,64.2,Average
STD1454,82.3,63.1,4.9,66.2,53.6,6,9,No,64.0,Average
STD1455,69.4,72.7,6.7,58.8,65.3,4,9,No,74.3,Average
STD1456,66.1,63.9,3.6,62.2,52.1,5,6,No,52.4,Average
STD1457,74.7,70.4,3.2,77.6,61.9,7,9,Yes,72.1,Average
STD1458,63.1,86.4,4.1,75.6,69.7,9,4,No,65.2,Average
STD1459,69.1,53.9,6.6,63.2,51.7,6,9,No,58.3,Average
STD1460,61.0,84.0,4.8,68.5,85.5,7,6,Yes,79.0,High
STD1461,100.0,86.4,3.5,88.2,82.9,8,10,No,73.3,Average
STD1462,76.4,66.3,5.4,67.0,60.8,5,8,Yes,65.1,Average
STD1463,67.3,38.3,2.5,39.8,40.8,4,6,No,39.5,Low
STD1464,78.7,59.5,5.7,64.1,64.8,7,9,Yes,63.2,Average
STD1465,74.6,86.2,5.2,67.8,82.4,6,9,Yes,78.8,High
STD1466,73.2,67.7,3.9,60.0,56.4,7,8,No,65.6,Average
STD1467,83.7,54.0,3.0,61.6,59.0,5,7,No,57.2,Average
STD1468,85.5,60.9,2.9,66.7,53.5,6,8,Yes,63.5,Average
STD1469,69.4,79.8,5.5,61.4,63.3,7,8,Yes,69.7,Average
STD1470,68.8,75.7,6.7,75.8,79.4,7,8,Yes,75.3,High
STD1471,72.6,64.7,3.4,67.2,67.6,7,8,No,59.0,Average
STD1472,47.2,62.9,5.3,49.5,75.6,5,3,No,62.3,Average
STD1473,57.1,62.5,1.0,45.8,41.6,5,5,No,48.9,Low
STD1474,93.1,55.1,3.4,62.3,58.5,4,9,Yes,64.0,Average
STD1475,96.6,90.6,4.4,80.5,75.6,6,9,No,75.7,High
STD1476,72.9,63.5,2.9,63.2,61.9,7,6,Yes,61.0,Average
STD1477,83.2,85.0,2.8,74.3,61.3,8,8,No,69.9,Average
STD1478,79.9,89.3,3.3,63.4,63.7,5,3,Yes,63.9,Average
STD1479,100.0,82.0,5.0,77.2,69.8,7,9,Yes,71.4,Average
STD1480,90.0,62.0,4.2,64.0,60.2,7,8,No,60.9,Average
STD1481,74.4,73.7,1.0,73.1,56.0,8,7,Yes,67.9,Average
STD1482,64.1,67.7,1.0,56.9,57.6,4,5,No,52.7,Average
STD1483,55.9,55.3,3.4,65.7,61.2,6,6,No,51.7,Average
STD1484,78.5,72.5,5.3,54.6,69.6,5,10,Yes,64.9,Average
STD1485,66.5,51.5,1.0,63.8,56.6,7,7,Yes,54.6,Average
STD1486,58.2,84.6,3.6,68.2,73.1,9,7,No,67.9,Average
STD1487,67.9,61.5,3.6,66.3,51.2,6,6,No,66.3,Average
STD1488,62.5,70.8,7.0,64.0,79.2,5,8,Yes,74.7,Average
STD1489,97.1,72.0,3.8,82.3,64.0,9,9,Yes,79.1,High
STD1490,87.0,64.4,5.2,63.9,68.9,8,9,No,72.0,Average
STD1491,75.9,76.2,4.8,61.9,77.3,6,8,Yes,67.5,Average
STD1492,94.5,61.4,1.0,77.9,57.4,7,7,Yes,60.7,Average
STD1493,77.0,80.2,5.9,71.8,65.6,8,10,Yes,69.4,Average
STD1494,65.2,49.2,4.9,54.0,47.6,6,7,No,57.0,Average
STD1495,95.0,69.8,5.4,81.2,78.1,7,10,No,72.8,Average
STD1496,82.7,95.1,10.0,74.8,91.5,8,10,No,80.8,High
STD1497,63.0,54.0,1.0,58.8,47.6,7,7,No,49.3,Low
STD1498,73.6,58.5,7.6,55.4,69.1,7,7,No,61.9,Average
STD1499,65.1,75.2,4.0,65.6,70.4,6,7,Yes,69.3,Average
STD1500,58.7,70.5,5.0,62.8,67.5,6,8,No,64.3,Average
STD1501,87.6,72.9,4.4,60.4,63.9,7,10,Yes,66.1,Average
STD1502,99.9,74.8,3.7,70.3,64.6,6,8,No,72.8,Average
STD1503,58.5,76.9,3.5,75.8,73.1,8,5,No,65.0,Average
STD1504,83.0,83.5,5.1,82.8,79.9,7,10,Yes,79.6,High
STD1505,67.9,73.7,1.8,66.1,58.8,8,5,No,64.6,Average
STD1506,69.9,64.6,5.9,63.9,71.6,6,7,No,61.9,Average
STD1507,68.6,77.4,3.8,66.6,66.3,8,9,Yes,67.2,Average
STD1508,65.2,94.6,2.5,87.5,71.6,9,6,No,77.7,High
STD1509,76.6,66.1,3.7,63.3,56.0,5,7,Yes,59.2,Average
STD1510,65.6,54.4,6.8,57.0,54.9,7,7,Yes,57.8,Average
STD1511,79.4,83.5,3.5,83.7,71.4,10,8,No,77.4,High
STD1512,75.4,66.3,5.1,58.7,70.7,7,6,Yes,75.5,High
STD1513,73.0,37.6,3.2,59.8,39.6,5,7,No,49.4,Low
STD1514,64.7,79.9,5.9,57.6,72.6,5,8,Yes,71.6,Average
STD1515,68.8,60.5,5.7,71.8,60.4,7,9,No,65.1,Average
STD1516,85.4,66.7,7.8,64.8,69.6,6,10,No,64.6,Average
STD1517,82.3,72.6,4.2,68.2,56.9,9,7,Yes,68.9,Average
STD1518,63.8,70.7,5.7,49.6,63.6,5,9,Yes,63.3,Average
STD1519,77.2,77.9,4.7,68.1,68.6,4,8,No,69.4,Average
STD1520,85.4,61.9,6.8,57.2,68.0,6,8,No,65.4,Average
STD1521,55.1,75.2,3.2,59.2,64.5,6,5,Yes,64.8,Average
STD1522,82.8,64.4,5.8,64.6,57.9,6,10,Yes,65.1,Average
STD1523,67.7,78.3,4.1,76.2,76.9,7,7,Yes,73.6,Average
STD1524,83.1,76.6,4.4,74.0,70.9,8,8,Yes,68.9,Average
STD1525,66.5,54.9,4.7,58.1,57.5,7,9,Yes,58.2,Average
STD1526,53.4,83.2,5.0,59.5,71.3,6,4,Yes,73.7,Average
STD1527,55.7,60.5,4.3,49.3,53.3,5,5,No,53.8,Average
STD1528,76.6,79.3,4.9,85.6,75.8,9,6,No,74.8,Average
STD1529,79.2,73.1,7.3,63.9,75.8,6,9,No,78.8,High
STD1530,64.7,93.7,6.3,89.1,75.3,8,8,No,73.1,Average
STD1531,84.0,64.9,6.1,64.4,62.6,7,10,No,61.2,Average
STD1532,55.2,63.1,3.7,57.2,56.3,6,6,No,62.7,Average
STD1533,75.2,67.7,2.9,73.3,63.0,9,7,No,65.3,Average
STD1534,60.9,63.8,6.2,68.6,73.7,8,7,No,64.5,Average
STD1535,67.9,79.2,6.1,68.7,69.3,6,8,No,64.1,Average
STD1536,76.6,45.4,7.2,50.5,53.0,6,7,Yes,58.5,Average
STD1537,65.2,53.2,3.4,54.1,48.6,4,10,No,54.1,Average
STD1538,71.2,53.1,4.1,58.6,49.3,7,8,No,50.1,Average
STD1539,88.6,81.3,1.5,83.2,64.9,8,8,No,71.3,Average
STD1540,68.8,91.9,3.8,76.9,81.1,7,8,No,74.6,Average
STD1541,86.4,66.5,6.3,72.4,62.5,8,10,No,69.7,Average
STD1542,61.9,65.6,3.7,72.7,64.7,5,6,No,56.9,Average
STD1543,82.6,69.0,5.7,70.9,58.0,5,8,Yes,73.1,Average
STD1544,94.0,84.3,4.2,82.0,71.1,8,10,No,80.9,High
STD1545,45.1,55.0,5.1,38.5,51.4,4,6,Yes,48.5,Low
STD1546,66.0,71.3,2.4,45.0,66.6,4,5,No,56.8,Average
STD1547,83.2,81.7,4.7,78.1,72.0,6,10,Yes,75.7,High
STD1548,73.5,75.0,1.0,68.1,46.3,6,7,Yes,58.7,Average
STD1549,80.6,70.7,4.2,64.6,52.2,7,9,Yes,63.7,Average
STD1550,68.5,82.0,1.6,73.1,65.6,8,8,No,66.5,Average
STD1551,77.1,30.2,6.7,44.7,49.7,4,9,Yes,56.8,Average
STD1552,74.1,77.5,5.9,78.8,76.9,9,9,Yes,81.0,High
STD1553,90.6,58.8,5.3,65.4,62.3,7,10,No,68.6,Average
STD1554,79.2,42.4,7.2,46.9,60.9,4,8,Yes,58.5,Average
STD1555,80.2,75.2,2.8,78.2,62.7,8,8,Yes,66.2,Average
STD1556,70.9,87.2,7.6,73.2,88.0,6,9,No,78.2,High
STD1557,69.9,66.1,6.2,66.9,57.4,7,7,Yes,69.4,Average
STD1558,70.6,81.3,4.1,67.9,64.6,8,10,Yes,66.0,Average
STD1559,80.9,90.6,6.5,74.6,71.1,8,7,No,79.2,High
STD1560,70.7,86.4,2.5,75.0,68.6,9,5,No,80.3,High
STD1561,79.6,91.0,3.0,79.4,74.3,8,9,No,80.6,High
STD1562,100.0,78.4,3.4,81.7,70.4,10,10,No,82.2,High
STD1563,86.9,69.1,3.5,67.3,62.9,7,7,No,66.5,Average
STD1564,71.9,45.6,2.6,38.4,37.1,5,8,Yes,50.9,Average
STD1565,91.0,64.6,6.7,64.7,66.2,6,10,Yes,67.2,Average
STD1566,70.9,56.2,4.0,63.7,47.5,7,7,Yes,61.6,Average
STD1567,50.5,98.4,5.1,73.0,90.3,9,9,Yes,83.9,High
STD1568,63.4,65.5,3.5,58.9,57.1,6,4,No,58.5,Average
STD1569,52.6,69.7,1.2,67.5,54.4,7,6,No,62.7,Average
STD1570,71.6,75.7,5.0,63.4,78.0,8,9,Yes,70.3,Average
STD1571,76.2,68.6,1.1,54.5,46.3,5,8,No,54.7,Average
STD1572,97.0,91.7,4.4,83.4,72.3,7,9,Yes,82.5,High
STD1573,80.1,59.3,2.0,58.4,45.6,8,7,Yes,53.7,Average
STD1574,73.3,70.7,8.1,59.2,72.2,5,9,No,68.6,Average
STD1575,86.4,57.6,6.1,61.6,64.4,6,10,Yes,59.0,Average
STD1576,48.4,49.5,4.7,51.5,56.7,6,6,Yes,57.4,Average
STD1577,78.9,59.4,6.8,61.7,79.8,6,10,Yes,70.0,Average
STD1578,85.6,67.5,3.0,70.4,47.5,6,7,Yes,61.4,Average
STD1579,57.5,62.0,5.5,70.8,68.0,7,6,No,58.9,Average
STD1580,90.3,58.3,4.9,61.8,55.8,4,8,No,59.3,Average
STD1581,80.2,48.3,5.0,58.1,50.2,6,8,Yes,60.4,Average
STD1582,70.8,66.8,6.8,59.8,63.9,6,9,Yes,68.7,Average
STD1583,83.9,46.9,5.8,50.0,48.0,5,9,No,50.5,Average
STD1584,100.0,78.6,5.0,73.9,82.2,6,10,No,73.7,Average
STD1585,78.3,69.2,1.5,63.4,62.0,8,7,Yes,67.8,Average
STD1586,79.1,47.6,2.8,58.0,48.2,6,8,Yes,52.1,Average
STD1587,70.3,63.7,4.3,79.3,72.1,9,7,No,67.7,Average
STD1588,65.4,57.5,4.7,51.5,47.2,5,6,No,53.0,Average
STD1589,86.4,72.5,2.5,67.9,53.8,6,8,Yes,67.3,Average
STD1590,65.3,86.8,8.8,72.5,72.0,8,10,Yes,81.5,High
STD1591,76.9,41.7,7.2,54.5,50.9,5,9,Yes,50.7,Average
STD1592,70.0,69.6,5.6,66.9,68.6,6,7,Yes,60.1,Average
STD1593,82.0,65.8,4.6,75.8,65.8,9,7,Yes,67.9,Average
STD1594,80.2,77.4,4.1,53.8,66.2,5,8,No,72.8,Average
STD1595,89.0,71.0,2.8,53.1,50.3,3,8,Yes,70.0,Average
STD1596,69.6,57.5,4.6,54.4,61.6,7,9,Yes,68.7,Average
STD1597,72.6,63.5,5.0,70.5,65.2,7,6,Yes,65.6,Average
STD1598,63.8,56.9,2.3,44.4,53.1,4,6,No,42.7,Low
STD1599,70.4,83.1,5.1,49.9,58.4,3,8,Yes,55.4,Average
STD1600,80.7,68.3,4.2,71.4,66.4,9,6,Yes,67.1,Average
STD1601,85.5,94.6,1.1,84.8,65.7,7,6,Yes,76.1,High
STD1602,64.5,67.2,3.0,53.8,55.0,5,6,No,61.6,Average
STD1603,86.9,58.1,3.8,55.9,58.4,7,8,Yes,65.9,Average
STD1604,92.9,46.8,7.9,51.5,59.2,6,10,Yes,63.2,Average
STD1605,81.2,42.8,5.5,54.1,46.3,5,8,Yes,50.6,Average
STD1606,99.5,45.8,2.1,55.4,45.1,4,8,No,48.4,Low
STD1607,66.3,71.7,5.4,68.7,59.3,6,8,Yes,67.5,Average
STD1608,60.4,75.1,1.7,43.8,63.3,5,8,No,60.6,Average
STD1609,53.8,45.9,6.4,40.9,51.3,3,9,No,49.4,Low
STD1610,94.7,80.5,3.7,69.4,75.6,7,7,No,69.1,Average
STD1611,84.2,61.2,4.3,62.3,56.3,7,9,Yes,66.8,Average
STD1612,75.3,70.1,6.9,62.6,66.9,7,8,No,68.7,Average
STD1613,79.5,90.6,2.2,85.1,69.0,7,8,Yes,72.6,Average
STD1614,61.9,80.6,2.0,54.7,67.2,8,5,Yes,62.2,Average
STD1615,100.0,64.2,3.4,70.7,56.3,8,10,No,69.1,Average
STD1616,77.6,55.5,6.4,63.5,65.6,6,9,Yes,64.0,Average
STD1617,77.4,37.9,1.8,63.4,39.6,7,6,Yes,57.0,Average
STD1618,85.1,57.9,1.0,59.1,37.3,8,6,Yes,57.6,Average
STD1619,82.0,65.0,3.7,68.2,57.6,5,8,No,60.2,Average
STD1620,78.8,54.2,5.5,45.3,48.3,4,9,Yes,55.9,Average
STD1621,66.1,66.2,6.7,44.0,64.1,2,8,No,58.6,Average
STD1622,81.9,69.1,3.7,74.3,57.0,8,9,No,62.7,Average
STD1623,99.5,64.9,3.8,70.5,67.1,7,9,No,64.6,Average
STD1624,92.8,58.9,6.6,74.2,65.5,7,10,Yes,73.7,Average
STD1625,95.9,70.4,1.1,62.3,55.3,6,10,No,66.7,Average
STD1626,69.6,74.2,3.8,71.2,70.4,5,8,Yes,71.8,Average
STD1627,63.6,52.7,4.8,67.8,63.3,7,7,Yes,67.7,Average
STD1628,74.4,87.8,5.3,79.3,78.3,9,8,Yes,77.4,High
STD1629,76.7,66.6,3.6,67.2,56.7,6,8,Yes,71.4,Average
STD1630,89.7,68.3,4.6,69.7,54.4,7,8,Yes,63.8,Average
STD1631,54.8,77.9,1.0,53.4,53.9,4,5,Yes,53.8,Average
STD1632,95.1,71.3,3.3,83.0,62.5,9,10,Yes,66.6,Average
STD1633,74.0,81.3,5.3,67.9,73.7,6,9,Yes,71.8,Average
STD1634,70.7,72.0,2.7,70.2,60.5,6,6,No,60.8,Average
STD1635,63.3,59.4,4.6,45.7,60.0,4,7,No,56.8,Average
STD1636,55.3,73.1,5.3,53.8,62.3,5,5,No,60.7,Average
STD1637,86.3,52.0,3.9,70.5,55.1,7,9,Yes,57.6,Average
STD1638,76.9,69.5,4.8,64.2,72.2,5,8,Yes,67.2,Average
STD1639,59.9,67.5,2.8,71.8,62.8,7,6,No,59.9,Average
STD1640,59.8,65.1,4.1,59.0,59.9,6,6,Yes,53.3,Average
STD1641,71.8,66.2,5.6,49.7,58.9,4,8,No,54.9,Average
STD1642,96.9,41.7,4.8,63.7,47.3,8,9,Yes,55.9,Average
STD1643,72.8,60.3,3.4,56.1,50.5,5,8,No,61.6,Average
STD1644,57.2,69.3,4.9,66.4,62.4,6,6,Yes,64.8,Average
STD1645,72.9,70.2,5.8,66.2,72.8,6,10,Yes,73.3,Average
STD1646,72.6,53.6,1.0,45.2,42.9,6,8,No,42.3,Low
STD1647,42.3,85.7,6.6,67.2,70.0,7,5,No,72.3,Average
STD1648,75.3,55.9,3.9,75.3,69.0,7,8,Yes,71.6,Average
STD1649,73.1,81.6,5.3,76.0,76.6,9,7,No,65.6,Average
STD1650,84.7,74.0,6.7,71.0,64.7,7,9,No,67.4,Average
STD1651,99.1,59.0,2.0,75.2,52.7,8,10,Yes,68.1,Average
STD1652,90.1,92.9,3.2,84.9,77.8,8,8,Yes,85.1,High
STD1653,72.6,51.3,4.0,57.1,62.8,5,8,Yes,56.2,Average
STD1654,62.2,80.9,3.1,60.7,59.3,6,7,Yes,63.9,Average
STD1655,100.0,82.0,7.6,81.9,87.5,8,10,No,81.0,High
STD1656,76.7,58.6,3.0,68.5,64.5,9,6,Yes,65.0,Average
STD1657,76.2,87.5,3.5,70.2,68.4,6,6,Yes,78.0,High
STD1658,75.7,64.5,4.9,74.4,63.1,9,7,Yes,65.0,Average
STD1659,78.5,72.0,2.3,67.9,55.0,7,4,No,66.1,Average
STD1660,74.2,71.6,3.8,60.5,61.8,6,8,Yes,62.3,Average
STD1661,68.8,66.1,5.1,70.1,65.0,8,10,Yes,64.4,Average
STD1662,69.2,79.4,3.9,67.9,72.6,6,7,Yes,74.2,Average
STD1663,75.6,79.1,4.3,77.4,78.0,9,6,No,77.2,High
STD1664,69.2,43.5,3.5,48.1,41.4,2,6,Yes,51.2,Average
STD1665,67.1,86.3,1.8,72.8,56.1,7,6,No,60.0,Average
STD1666,77.3,44.7,5.1,57.0,51.8,5,7,Yes,53.7,Average
STD1667,72.8,82.5,7.7,74.9,82.4,6,10,Yes,82.5,High
STD1668,94.8,83.8,4.5,64.7,73.2,6,10,Yes,76.5,High
STD1669,42.9,52.7,4.9,39.6,50.1,4,4,No,41.3,Low
STD1670,89.6,62.2,5.7,73.3,66.3,8,10,No,70.5,Average
STD1671,91.6,52.5,2.2,60.5,58.8,6,10,No,55.8,Average
STD1672,50.1,65.0,7.6,52.8,69.5,5,9,No,68.2,Average
STD1673,71.7,63.7,4.9,51.9,57.7,6,10,Yes,68.2,Average
STD1674,71.4,78.9,7.4,62.3,72.8,6,7,Yes,74.9,Average
STD1675,58.4,86.3,3.2,55.7,66.9,7,9,Yes,73.8,Average
STD1676,66.3,87.5,7.8,72.9,92.8,8,8,No,79.9,High
STD1677,62.1,60.1,5.9,53.0,59.7,5,6,No,60.1,Average
STD1678,97.9,65.1,5.5,63.0,64.2,5,10,Yes,75.5,High
STD1679,87.7,44.4,4.9,55.5,48.2,5,8,Yes,57.1,Average
STD1680,91.9,56.7,4.1,66.7,64.0,6,9,Yes,64.9,Average
STD1681,85.0,81.5,6.7,91.3,92.8,9,8,No,76.3,High
STD1682,61.9,90.6,4.8,62.8,78.0,7,6,Yes,73.7,Average
STD1683,69.4,50.7,1.0,63.0,46.9,7,8,Yes,57.9,Average
STD1684,82.1,59.7,2.5,70.1,56.1,7,8,Yes,67.2,Average
STD1685,60.7,67.6,4.2,55.4,46.6,6,7,No,57.6,Average
STD1686,84.9,71.9,5.1,71.9,72.9,7,9,Yes,71.1,Average
STD1687,73.0,56.7,4.4,55.2,56.7,5,9,No,48.5,Low
STD1688,71.3,73.9,6.7,69.0,75.4,6,6,Yes,70.0,Average
STD1689,84.9,61.4,1.0,75.8,50.0,6,8,No,58.4,Average
STD1690,81.6,67.8,4.8,71.7,63.3,6,8,No,64.7,Average
STD1691,71.5,75.6,1.2,72.4,58.8,8,7,Yes,69.2,Average
STD1692,90.5,68.1,5.9,66.6,73.6,6,10,Yes,81.0,High
STD1693,62.5,61.9,4.3,47.4,54.5,5,5,Yes,56.9,Average
STD1694,83.7,66.5,5.3,65.4,77.4,7,8,Yes,70.6,Average
STD1695,83.4,66.8,2.9,76.1,64.3,8,6,No,65.1,Average
STD1696,72.1,62.8,6.8,50.3,56.1,4,8,Yes,61.4,Average
STD1697,80.1,64.4,6.4,56.9,64.1,7,10,Yes,63.4,Average
STD1698,60.4,90.4,5.6,74.6,75.5,9,7,Yes,77.4,High
STD1699,87.6,75.9,4.3,65.8,54.2,5,7,Yes,69.3,Average
STD1700,73.7,63.9,5.5,56.8,72.2,5,7,No,64.1,Average
STD1701,69.5,77.8,3.2,66.0,70.1,8,5,Yes,71.2,Average
STD1702,89.1,63.3,6.0,56.5,66.7,6,8,No,66.6,Average
STD1703,67.2,84.4,7.5,64.9,80.1,4,9,No,65.4,Average
STD1704,58.4,73.2,6.4,68.9,63.5,5,6,Yes,69.3,Average
STD1705,56.5,66.5,3.2,49.6,53.9,5,7,Yes,53.9,Average
STD1706,83.6,74.3,5.2,59.3,72.4,5,9,No,63.6,Average
STD1707,60.0,46.0,2.2,44.4,36.8,4,6,Yes,40.5,Low
STD1708,97.9,52.2,5.5,68.6,43.9,7,10,Yes,64.5,Average
STD1709,50.0,51.3,5.3,47.7,52.6,6,7,Yes,51.8,Average
STD1710,97.2,70.0,1.1,69.2,56.7,7,9,Yes,60.5,Average
STD1711,78.6,92.3,2.4,80.1,74.7,9,8,No,78.4,High
STD1712,74.8,99.0,4.0,69.3,83.3,8,8,Yes,74.9,Average
STD1713,69.2,76.9,4.0,72.4,72.3,9,7,Yes,72.7,Average
STD1714,81.0,75.0,2.3,73.8,65.4,8,8,No,69.0,Average
